[15, 1, 10, 2, 8, -5, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 15, 10, 2, 8, -5, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 10, 15, 2, 8, -5, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 10, 2, 15, 8, -5, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 10, 2, 8, 15, -5, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 19, 7, 6, 15, 10, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 19, 6, 15, 10, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 19, 15, 10, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 15, 19, 10, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 15, 10, 19, 0, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 15, 10, 0, 19, 1, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 15, 10, 0, 1, 19, -1]
[1, 10, 2, 8, -5, 15, 7, 6, 15, 10, 0, 1, -1, 19]
[1, 2, 10, 8, -5, 15, 7, 6, 15, 10, 0, 1, -1, 19]
[1, 2, 8, 10, -5, 15, 7, 6, 15, 10, 0, 1, -1, 19]
[1, 2, 8, -5, 10, 15, 7, 6, 15, 10, 0, 1, -1, 19]
[1, 2, 8, -5, 10, 7, 15, 6, 15, 10, 0, 1, -1, 19]
[1, 2, 8, -5, 10, 7, 6, 15, 15, 10, 0, 1, -1, 19]
[1, 2, 8, -5, 10, 7, 6, 15, 10, 15, 0, 1, -1, 19]
[1, 2, 8, -5, 10, 7, 6, 15, 10, 0, 15, 1, -1, 19]
[1, 2, 8, -5, 10, 7, 6, 15, 10, 0, 1, 15, -1, 19]
[1, 2, 8, -5, 10, 7, 6, 15, 10, 0, 1, -1, 15, 19]
[1, 2, -5, 8, 10, 7, 6, 15, 10, 0, 1, -1, 15, 19]
[1, 2, -5, 8, 7, 10, 6, 15, 10, 0, 1, -1, 15, 19]
[1, 2, -5, 8, 7, 6, 10, 15, 10, 0, 1, -1, 15, 19]
[1, 2, -5, 8, 7, 6, 10, 10, 15, 0, 1, -1, 15, 19]
[1, 2, -5, 8, 7, 6, 10, 10, 0, 15, 1, -1, 15, 19]
[1, 2, -5, 8, 7, 6, 10, 10, 0, 1, 15, -1, 15, 19]
[1, 2, -5, 8, 7, 6, 10, 10, 0, 1, -1, 15, 15, 19]
[1, -5, 2, 8, 7, 6, 10, 10, 0, 1, -1, 15, 15, 19]
[1, -5, 2, 7, 8, 6, 10, 10, 0, 1, -1, 15, 15, 19]
[1, -5, 2, 7, 6, 8, 10, 10, 0, 1, -1, 15, 15, 19]
[1, -5, 2, 7, 6, 8, 10, 0, 10, 1, -1, 15, 15, 19]
[1, -5, 2, 7, 6, 8, 10, 0, 1, 10, -1, 15, 15, 19]
[1, -5, 2, 7, 6, 8, 10, 0, 1, -1, 10, 15, 15, 19]
[-5, 1, 2, 7, 6, 8, 10, 0, 1, -1, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 8, 10, 0, 1, -1, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 8, 0, 10, 1, -1, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 8, 0, 1, 10, -1, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 8, 0, 1, -1, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 0, 8, 1, -1, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 0, 1, 8, -1, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 7, 0, 1, -1, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 0, 7, 1, -1, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 0, 1, 7, -1, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 6, 0, 1, -1, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 0, 6, 1, -1, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 0, 1, 6, -1, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 2, 0, 1, -1, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 0, 2, 1, -1, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 0, 1, 2, -1, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 1, 0, 1, -1, 2, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 0, 1, 1, -1, 2, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 0, 1, -1, 1, 2, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, 0, -1, 1, 1, 2, 6, 7, 8, 10, 10, 15, 15, 19]
[-5, -1, 0, 1, 1, 2, 6, 7, 8, 10, 10, 15, 15, 19]
